seq_name	batch	sample.x	batch_number	read	lane	plate	sample_name	well	sample.y	number	genotype	experiment	barcode	X	Y	X_Y	well_no	dh_genotype
18048-85-01-03/BG-P12-well-1_S2_L006_R1_001	18048-85-01-03	2	1	1	6	12	BG-P12-well-1_S2_L006	A1	BG_WD_0718_928	928	511EB00087	WD_0718	ILLSINHA8	54	12	54_12	1	EB.09S.H.00114
18048-85-01-03/BG-P12-well-1_S2_L006_R2_001	18048-85-01-03	2	1	2	6	12	BG-P12-well-1_S2_L006	A1	BG_WD_0718_928	928	511EB00087	WD_0718	ILLSINHA8	54	12	54_12	1	EB.09S.H.00114
18048-85-01-03/BG-P12-well-13_S14_L006_R1_001	18048-85-01-03	14	13	1	6	12	BG-P12-well-13_S14_L006	B1	BG_WD_0718_951	951	511EB00432	WD_0718	ILLSINHA7	69	10	69_10	13	EB.10H.H.00079
18048-85-01-03/BG-P12-well-13_S14_L006_R2_001	18048-85-01-03	14	13	2	6	12	BG-P12-well-13_S14_L006	B1	BG_WD_0718_951	951	511EB00432	WD_0718	ILLSINHA7	69	10	69_10	13	EB.10H.H.00079
18048-85-01-03/BG-P12-well-14_S15_L006_R1_001	18048-85-01-03	15	14	1	6	12	BG-P12-well-14_S15_L006	B2	BG_WD_0718_957	957	513EB00026	WD_0718	ILLSINHA15	63	10	63_10	14	EB.09S.H.00514
18048-85-01-03/BG-P12-well-14_S15_L006_R2_001	18048-85-01-03	15	14	2	6	12	BG-P12-well-14_S15_L006	B2	BG_WD_0718_957	957	513EB00026	WD_0718	ILLSINHA15	63	10	63_10	14	EB.09S.H.00514
18048-85-01-03/BG-P12-well-15_S16_L006_R1_001	18048-85-01-03	16	15	1	6	12	BG-P12-well-15_S16_L006	B3	BG_WD_0718_1071	1071	511EB00447	WD_0718	ILLSINHA23	63	4	63_4	15	EB.10H.H.00105
18048-85-01-03/BG-P12-well-15_S16_L006_R2_001	18048-85-01-03	16	15	2	6	12	BG-P12-well-15_S16_L006	B3	BG_WD_0718_1071	1071	511EB00447	WD_0718	ILLSINHA23	63	4	63_4	15	EB.10H.H.00105
18048-85-01-03/BG-P12-well-16_S17_L006_R1_001	18048-85-01-03	17	16	1	6	12	BG-P12-well-16_S17_L006	B4	BG_WD_0718_911	911	511EB00004	WD_0718	ILLSINHA31	68	13	68_13	16	EB.09S.H.00005
18048-85-01-03/BG-P12-well-16_S17_L006_R2_001	18048-85-01-03	17	16	2	6	12	BG-P12-well-16_S17_L006	B4	BG_WD_0718_911	911	511EB00004	WD_0718	ILLSINHA31	68	13	68_13	16	EB.09S.H.00005
18048-85-01-03/BG-P12-well-17_S18_L006_R1_001	18048-85-01-03	18	17	1	6	12	BG-P12-well-17_S18_L006	B5	BG_WD_0718_1001	1001	511EB00069	WD_0718	ILLSINHA39	57	8	57_8	17	EB.09S.H.00091
18048-85-01-03/BG-P12-well-17_S18_L006_R2_001	18048-85-01-03	18	17	2	6	12	BG-P12-well-17_S18_L006	B5	BG_WD_0718_1001	1001	511EB00069	WD_0718	ILLSINHA39	57	8	57_8	17	EB.09S.H.00091
18048-85-01-03/BG-P12-well-18_S19_L006_R1_001	18048-85-01-03	19	18	1	6	12	BG-P12-well-18_S19_L006	B6	BG_WD_0718_1021	1021	511EB00461	WD_0718	ILLSINHA47	64	7	64_7	18	EB.10H.H.00131
18048-85-01-03/BG-P12-well-18_S19_L006_R2_001	18048-85-01-03	19	18	2	6	12	BG-P12-well-18_S19_L006	B6	BG_WD_0718_1021	1021	511EB00461	WD_0718	ILLSINHA47	64	7	64_7	18	EB.10H.H.00131
18048-85-01-03/BG-P12-well-19_S20_L006_R1_001	18048-85-01-03	20	19	1	6	12	BG-P12-well-19_S20_L006	B7	BG_WD_0718_964	964	511EB00370	WD_0718	ILLSINHA55	56	10	56_10	19	EB.09S.H.00524
18048-85-01-03/BG-P12-well-19_S20_L006_R2_001	18048-85-01-03	20	19	2	6	12	BG-P12-well-19_S20_L006	B7	BG_WD_0718_964	964	511EB00370	WD_0718	ILLSINHA55	56	10	56_10	19	EB.09S.H.00524
18048-85-01-03/BG-P12-well-2_S3_L006_R1_001	18048-85-01-03	3	2	1	6	12	BG-P12-well-2_S3_L006	A2	BG_WD_0718_894	894	511EB00083	WD_0718	ILLSINHA16	51	13	51_13	2	EB.09S.H.00108
18048-85-01-03/BG-P12-well-2_S3_L006_R2_001	18048-85-01-03	3	2	2	6	12	BG-P12-well-2_S3_L006	A2	BG_WD_0718_894	894	511EB00083	WD_0718	ILLSINHA16	51	13	51_13	2	EB.09S.H.00108
18048-85-01-03/BG-P12-well-20_S21_L006_R1_001	18048-85-01-03	21	20	1	6	12	BG-P12-well-20_S21_L006	B8	BG_WD_0718_739	739	511EB00048	WD_0718	ILLSINHA63	53	22	53_22	20	EB.09S.H.00065
18048-85-01-03/BG-P12-well-20_S21_L006_R2_001	18048-85-01-03	21	20	2	6	12	BG-P12-well-20_S21_L006	B8	BG_WD_0718_739	739	511EB00048	WD_0718	ILLSINHA63	53	22	53_22	20	EB.09S.H.00065
18048-85-01-03/BG-P12-well-21_S22_L006_R1_001	18048-85-01-03	22	21	1	6	12	BG-P12-well-21_S22_L006	B9	BG_WD_0718_794	794	511EB00007	WD_0718	ILLSINHA71	65	19	65_19	21	EB.09S.H.00009
18048-85-01-03/BG-P12-well-21_S22_L006_R2_001	18048-85-01-03	22	21	2	6	12	BG-P12-well-21_S22_L006	B9	BG_WD_0718_794	794	511EB00007	WD_0718	ILLSINHA71	65	19	65_19	21	EB.09S.H.00009
18048-85-01-03/BG-P12-well-25_S26_L006_R1_001	18048-85-01-03	26	25	1	6	12	BG-P12-well-25_S26_L006	C1	BG_WD_0718_1070	1070	511EB00106	WD_0718	ILLSINHA6	64	4	64_4	25	EB.09S.H.00144
18048-85-01-03/BG-P12-well-25_S26_L006_R2_001	18048-85-01-03	26	25	2	6	12	BG-P12-well-25_S26_L006	C1	BG_WD_0718_1070	1070	511EB00106	WD_0718	ILLSINHA6	64	4	64_4	25	EB.09S.H.00144
18048-85-01-03/BG-P12-well-26_S27_L006_R1_001	18048-85-01-03	27	26	1	6	12	BG-P12-well-26_S27_L006	C2	BG_WD_0718_941	941	511EB00278	WD_0718	ILLSINHA14	60	11	60_11	26	EB.09S.H.00389
18048-85-01-03/BG-P12-well-26_S27_L006_R2_001	18048-85-01-03	27	26	2	6	12	BG-P12-well-26_S27_L006	C2	BG_WD_0718_941	941	511EB00278	WD_0718	ILLSINHA14	60	11	60_11	26	EB.09S.H.00389
18048-85-01-03/BG-P12-well-27_S28_L006_R1_001	18048-85-01-03	28	27	1	6	12	BG-P12-well-27_S28_L006	C3	BG_WD_0718_854	854	511EB00386	WD_0718	ILLSINHA22	52	16	52_16	27	EB.10H.H.00025
18048-85-01-03/BG-P12-well-27_S28_L006_R2_001	18048-85-01-03	28	27	2	6	12	BG-P12-well-27_S28_L006	C3	BG_WD_0718_854	854	511EB00386	WD_0718	ILLSINHA22	52	16	52_16	27	EB.10H.H.00025
18048-85-01-03/BG-P12-well-28_S29_L006_R1_001	18048-85-01-03	29	28	1	6	12	BG-P12-well-28_S29_L006	C4	BG_WD_0718_839	839	511EB00260	WD_0718	ILLSINHA30	67	16	67_16	28	EB.09S.H.00364
18048-85-01-03/BG-P12-well-28_S29_L006_R2_001	18048-85-01-03	29	28	2	6	12	BG-P12-well-28_S29_L006	C4	BG_WD_0718_839	839	511EB00260	WD_0718	ILLSINHA30	67	16	67_16	28	EB.09S.H.00364
18048-85-01-03/BG-P12-well-29_S30_L006_R1_001	18048-85-01-03	30	29	1	6	12	BG-P12-well-29_S30_L006	C5	BG_WD_0718_1079	1079	511EB00198	WD_0718	ILLSINHA38	55	4	55_4	29	EB.09S.H.00273
18048-85-01-03/BG-P12-well-29_S30_L006_R2_001	18048-85-01-03	30	29	2	6	12	BG-P12-well-29_S30_L006	C5	BG_WD_0718_1079	1079	511EB00198	WD_0718	ILLSINHA38	55	4	55_4	29	EB.09S.H.00273
18048-85-01-03/BG-P12-well-3_S4_L006_R1_001	18048-85-01-03	4	3	1	6	12	BG-P12-well-3_S4_L006	A3	BG_WD_0718_904	904	511EB00474	WD_0718	ILLSINHA24	61	13	61_13	3	EB.10H.H.00151
18048-85-01-03/BG-P12-well-3_S4_L006_R2_001	18048-85-01-03	4	3	2	6	12	BG-P12-well-3_S4_L006	A3	BG_WD_0718_904	904	511EB00474	WD_0718	ILLSINHA24	61	13	61_13	3	EB.10H.H.00151
18048-85-01-03/BG-P12-well-30_S31_L006_R1_001	18048-85-01-03	31	30	1	6	12	BG-P12-well-30_S31_L006	C6	BG_WD_0718_806	806	9RGTCONEXXION	WD_0718	ILLSINHA46	62	18	62_18	30	
18048-85-01-03/BG-P12-well-30_S31_L006_R2_001	18048-85-01-03	31	30	2	6	12	BG-P12-well-30_S31_L006	C6	BG_WD_0718_806	806	9RGTCONEXXION	WD_0718	ILLSINHA46	62	18	62_18	30	
18048-85-01-03/BG-P12-well-31_S32_L006_R1_001	18048-85-01-03	32	31	1	6	12	BG-P12-well-31_S32_L006	C7	BG_WD_0718_892	892	511EB00234	WD_0718	ILLSINHA54	52	14	52_14	31	EB.09S.H.00322
18048-85-01-03/BG-P12-well-31_S32_L006_R2_001	18048-85-01-03	32	31	2	6	12	BG-P12-well-31_S32_L006	C7	BG_WD_0718_892	892	511EB00234	WD_0718	ILLSINHA54	52	14	52_14	31	EB.09S.H.00322
18048-85-01-03/BG-P12-well-32_S33_L006_R1_001	18048-85-01-03	33	32	1	6	12	BG-P12-well-32_S33_L006	C8	BG_WD_0718_888	888	511EB00259	WD_0718	ILLSINHA62	56	14	56_14	32	EB.09S.H.00362
18048-85-01-03/BG-P12-well-32_S33_L006_R2_001	18048-85-01-03	33	32	2	6	12	BG-P12-well-32_S33_L006	C8	BG_WD_0718_888	888	511EB00259	WD_0718	ILLSINHA62	56	14	56_14	32	EB.09S.H.00362
18048-85-01-03/BG-P12-well-33_S34_L006_R1_001	18048-85-01-03	34	33	1	6	12	BG-P12-well-33_S34_L006	C9	BG_WD_0718_938	938	511EB00295	WD_0718	ILLSINHA70	57	11	57_11	33	EB.09S.H.00413
18048-85-01-03/BG-P12-well-33_S34_L006_R2_001	18048-85-01-03	34	33	2	6	12	BG-P12-well-33_S34_L006	C9	BG_WD_0718_938	938	511EB00295	WD_0718	ILLSINHA70	57	11	57_11	33	EB.09S.H.00413
18048-85-01-03/BG-P12-well-37_S38_L006_R1_001	18048-85-01-03	38	37	1	6	12	BG-P12-well-37_S38_L006	D1	BG_WD_0718_980	980	511EB00434	WD_0718	ILLSINHA5	61	9	61_9	37	EB.10H.H.00081
18048-85-01-03/BG-P12-well-37_S38_L006_R2_001	18048-85-01-03	38	37	2	6	12	BG-P12-well-37_S38_L006	D1	BG_WD_0718_980	980	511EB00434	WD_0718	ILLSINHA5	61	9	61_9	37	EB.10H.H.00081
18048-85-01-03/BG-P12-well-38_S39_L006_R1_001	18048-85-01-03	39	38	1	6	12	BG-P12-well-38_S39_L006	D2	BG_WD_0718_921	921	511EB00350	WD_0718	ILLSINHA13	61	12	61_12	38	EB.09S.H.00494
18048-85-01-03/BG-P12-well-38_S39_L006_R2_001	18048-85-01-03	39	38	2	6	12	BG-P12-well-38_S39_L006	D2	BG_WD_0718_921	921	511EB00350	WD_0718	ILLSINHA13	61	12	61_12	38	EB.09S.H.00494
18048-85-01-03/BG-P12-well-39_S40_L006_R1_001	18048-85-01-03	40	39	1	6	12	BG-P12-well-39_S40_L006	D3	BG_WD_0718_826	826	511EB00242	WD_0718	ILLSINHA21	59	17	59_17	39	EB.09S.H.00335
18048-85-01-03/BG-P12-well-39_S40_L006_R2_001	18048-85-01-03	40	39	2	6	12	BG-P12-well-39_S40_L006	D3	BG_WD_0718_826	826	511EB00242	WD_0718	ILLSINHA21	59	17	59_17	39	EB.09S.H.00335
