sample	include
18048FL-06-02-33_S129_L002	True
18048FL-06-02-68_S164_L002	True
18048FL-06-01-07_S7_L001	True
18048Fl-06-03-91_S283_L003	True
18048FL-06-02-81_S177_L002	True
18048Fl-06-03-61_S253_L003	True
18048Fl-06-03-28_S220_L003	True
18048FL-06-01-50_S50_L001	True
18048FL-06-02-71_S167_L002	True
18048FL-06-01-87_S87_L001	False
18048Fl-06-03-92_S284_L003	True
18048FL-06-02-70_S166_L002	True
18048FL-06-01-82_S82_L001	True
18048Fl-06-03-80_S272_L003	True
18048FL-06-01-47_S47_L001	False
18048Fl-06-03-56_S248_L003	True
18048FL-06-01-12_S12_L001	True
18048FL-06-02-90_S186_L002	True
18048FL-06-02-34_S130_L002	True
18048Fl-06-03-96_S288_L003	False
18048Fl-06-03-84_S276_L003	True
18048FL-06-01-66_S66_L001	True
18048FL-06-02-03_S99_L002	True
18048Fl-06-03-53_S245_L003	False
18048FL-06-01-28_S28_L001	True
18048FL-06-01-42_S42_L001	True
18048FL-06-01-06_S6_L001	True
18048FL-06-01-19_S19_L001	False
18048FL-06-01-71_S71_L001	False
18048FL-06-02-36_S132_L002	False
18048Fl-06-03-69_S261_L003	True
18048FL-06-02-26_S122_L002	True
18048FL-06-01-72_S72_L001	True
18048Fl-06-03-50_S242_L003	True
18048Fl-06-03-76_S268_L003	True
18048Fl-06-03-40_S232_L003	True
18048Fl-06-03-01_S193_L003	True
18048Fl-06-03-44_S236_L003	True
18048FL-06-02-35_S131_L002	False
18048FL-06-02-74_S170_L002	True
18048Fl-06-03-74_S266_L003	True
18048Fl-06-03-60_S252_L003	True
18048FL-06-01-63_S63_L001	False
18048FL-06-02-16_S112_L002	True
18048FL-06-02-65_S161_L002	True
18048FL-06-02-80_S176_L002	True
18048FL-06-02-09_S105_L002	True
18048FL-06-01-64_S64_L001	True
18048FL-06-01-04_S4_L001	True
18048Fl-06-03-03_S195_L003	False
18048Fl-06-03-13_S205_L003	True
18048FL-06-01-09_S9_L001	False
18048FL-06-01-39_S39_L001	True
18048Fl-06-03-49_S241_L003	True
18048Fl-06-03-22_S214_L003	True
18048FL-06-01-88_S88_L001	True
18048Fl-06-03-70_S262_L003	True
18048FL-06-02-08_S104_L002	True
18048FL-06-02-47_S143_L002	False
18048FL-06-01-69_S69_L001	True
18048FL-06-02-29_S125_L002	False
18048FL-06-02-38_S134_L002	False
18048Fl-06-03-14_S206_L003	True
18048FL-06-01-01_S1_L001	False
18048Fl-06-03-29_S221_L003	True
18048FL-06-01-15_S15_L001	True
18048Fl-06-03-63_S255_L003	True
18048Fl-06-03-18_S210_L003	True
18048FL-06-02-93_S189_L002	True
18048FL-06-02-78_S174_L002	True
18048Fl-06-03-67_S259_L003	True
18048FL-06-01-03_S3_L001	True
18048FL-06-02-56_S152_L002	True
18048FL-06-02-19_S115_L002	True
18048FL-06-02-82_S178_L002	True
18048FL-06-02-87_S183_L002	True
18048FL-06-01-68_S68_L001	True
18048FL-06-01-96_S96_L001	True
18048FL-06-01-36_S36_L001	False
18048Fl-06-03-17_S209_L003	True
18048FL-06-02-21_S117_L002	False
18048Fl-06-03-62_S254_L003	True
18048FL-06-02-11_S107_L002	True
18048Fl-06-03-30_S222_L003	True
18048Fl-06-03-77_S269_L003	True
18048FL-06-02-50_S146_L002	True
18048FL-06-02-75_S171_L002	False
18048FL-06-02-17_S113_L002	True
